operator,n_total,pct_ge_99,pct_is_99,median_delay,p95_delay,p99_delay
UTAH GAS OP LTD DBA UTAH GAS CORP,122.0,6.5574,0.0,1.0,130.0,167.37
BISON IV OPERATING LLC,70.0,5.7143,0.0,2.0,105.2,188.0
SRC ENERGY INC,158.0,2.5316,0.0,1.0,6.9,303.0
FOUNDATION ENERGY MANAGEMENT LLC,160.0,2.5,0.0,2.0,7.0,176.0
KP KAUFFMAN COMPANY INC,940.0,2.3404,0.6383,1.0,31.0,435.87
GREAT WESTERN OPERATING COMPANY LLC,206.0,1.9417,0.0,1.0,6.0,103.0
BAYSWATER EXPLORATION & PRODUCTION LLC,116.0,1.7241,0.0,2.0,13.0,90.1
EXTRACTION OIL & GAS INC,494.0,1.6194,0.0,1.0,3.0,113.0
CHEVRON USA INC,872.0,1.6055,0.0,2.0,7.0,202.0
NOBLE ENERGY INC,5430.0,1.1786,0.0,1.0,3.0,114.0
FUNDARE RESOURCES OPERATING COMPANY LLC,196.0,1.0204,0.0,1.0,5.0,20.2
KERR MCGEE OIL & GAS ONSHORE LP,4714.0,0.4243,0.0424,0.0,3.0,17.61
PDC ENERGY INC,2454.0,0.326,0.0,1.0,3.0,27.0
CRESTONE PEAK RESOURCES OPERATING LLC,694.0,0.2882,0.0,1.0,3.0,17.0
CAERUS PICEANCE LLC,2194.0,0.1823,0.0912,1.0,3.0,18.28
