model,term,coef,se,z_or_t,p_value
H1_its_monthly_pct_hist,Intercept,38.50652039457954,3.5843675901051553,10.74290496903245,6.3998362920791664e-27
H1_its_monthly_pct_hist,C(month_of_year)[T.2],2.5056297746848935,4.100767306999264,0.6110148630984839,0.5411897406167181
H1_its_monthly_pct_hist,C(month_of_year)[T.3],4.028981554974776,3.796383815268474,1.0612682360436871,0.28856801675450183
H1_its_monthly_pct_hist,C(month_of_year)[T.4],6.377487346923293,3.9712112557708457,1.6059300138353805,0.10828928805607392
H1_its_monthly_pct_hist,C(month_of_year)[T.5],-4.372606861128219,3.6735957746393995,-1.1902798046846714,0.23393643564219568
H1_its_monthly_pct_hist,C(month_of_year)[T.6],2.6687989308202607,3.8247727928985467,0.6977666583948249,0.485323133480561
H1_its_monthly_pct_hist,C(month_of_year)[T.7],-0.7118952772312577,3.294835567698033,-0.216063977277212,0.8289378784578357
H1_its_monthly_pct_hist,C(month_of_year)[T.8],0.9278105147172057,4.159848786841572,0.22303948106288254,0.8235047789153634
H1_its_monthly_pct_hist,C(month_of_year)[T.9],3.5604163066656875,3.6539412352137863,0.9744043698221582,0.32985580062499553
H1_its_monthly_pct_hist,C(month_of_year)[T.10],4.957422098614161,3.8067650466812926,1.3022663699552464,0.1928253437453985
H1_its_monthly_pct_hist,C(month_of_year)[T.11],4.3743278905626415,4.652525901843902,0.9402049516433635,0.34711244237753314
H1_its_monthly_pct_hist,C(month_of_year)[T.12],-4.42176631748891,4.481904330114447,-0.9865820400891954,0.32384757832260624
H1_its_monthly_pct_hist,t,-0.1673899473209392,0.07754271909973012,-2.1586803927478186,0.030874970962557074
H1_its_monthly_pct_hist,post,-67.87862769102071,7.003185675186247,-9.692535774330373,3.2437324813875514e-22
H1_its_monthly_pct_hist,post_t,0.9847683107449207,0.10771064945335812,9.142720016476684,6.090090758293795e-20
