operator,period,n_total,pct_historical,pct_recent
BARRETT CORPORATION* BILL,pre_2020,140,35.714,64.286
BONANZA CREEK ENERGY OPERATING COMPANY LLC,post_2020,638,16.928,83.072
BONANZA CREEK ENERGY OPERATING COMPANY LLC,pre_2020,492,7.724,92.276
CAERUS PICEANCE LLC,post_2020,1814,11.356,88.644
CAERUS PICEANCE LLC,pre_2020,380,21.579,78.421
CHEVRON USA INC,post_2020,234,21.368,78.632
CHEVRON USA INC,pre_2020,638,4.389,95.611
CRESTONE PEAK RESOURCES OPERATING LLC,post_2020,540,53.333,46.667
CRESTONE PEAK RESOURCES OPERATING LLC,pre_2020,154,33.766,66.234
DCP MIDSTREAM LP,pre_2020,208,16.346,83.654
DCP OPERATING COMPANY LP,post_2020,276,20.29,79.71
DCP OPERATING COMPANY LP,pre_2020,124,27.419,72.581
EXTRACTION OIL & GAS INC,post_2020,328,21.341,78.659
EXTRACTION OIL & GAS INC,pre_2020,166,57.831,42.169
FOUNDATION ENERGY MANAGEMENT LLC,post_2020,20,30.0,70.0
FOUNDATION ENERGY MANAGEMENT LLC,pre_2020,140,8.571,91.429
FUNDARE RESOURCES OPERATING COMPANY LLC,post_2020,196,8.163,91.837
GRAND RIVER GATHERING LLC,post_2020,116,0.0,100.0
GRAND RIVER GATHERING LLC,pre_2020,22,0.0,100.0
GREAT WESTERN OPERATING COMPANY LLC,post_2020,94,42.553,57.447
GREAT WESTERN OPERATING COMPANY LLC,pre_2020,112,21.429,78.571
HIGHPOINT OPERATING CORPORATION,post_2020,576,12.5,87.5
HIGHPOINT OPERATING CORPORATION,pre_2020,280,4.286,95.714
KERR MCGEE GATHERING LLC,post_2020,126,12.698,87.302
KERR MCGEE GATHERING LLC,pre_2020,124,32.258,67.742
KERR MCGEE OIL & GAS ONSHORE LP,post_2020,3140,73.121,26.879
KERR MCGEE OIL & GAS ONSHORE LP,pre_2020,1574,56.417,43.583
KP KAUFFMAN COMPANY INC,post_2020,844,13.27,86.73
KP KAUFFMAN COMPANY INC,pre_2020,96,29.167,70.833
LARAMIE ENERGY LLC,post_2020,150,5.333,94.667
LARAMIE ENERGY LLC,pre_2020,136,7.353,92.647
NOBLE ENERGY INC,post_2020,3316,85.042,14.958
NOBLE ENERGY INC,pre_2020,2114,67.171,32.829
PDC ENERGY INC,post_2020,1620,67.037,32.963
PDC ENERGY INC,pre_2020,834,51.319,48.681
SRC ENERGY INC,post_2020,4,100.0,0.0
SRC ENERGY INC,pre_2020,154,54.545,45.455
TEP ROCKY MOUNTAIN LLC,post_2020,206,1.942,98.058
TEP ROCKY MOUNTAIN LLC,pre_2020,386,5.699,94.301
VERDAD RESOURCES LLC,post_2020,104,5.769,94.231
VERDAD RESOURCES LLC,pre_2020,40,20.0,80.0
WHITING OIL & GAS CORPORATION,post_2020,78,15.385,84.615
WHITING OIL & GAS CORPORATION,pre_2020,368,9.783,90.217
WPX ENERGY ROCKY MOUNTAIN LLC,pre_2020,164,17.073,82.927
XTO ENERGY INC,post_2020,36,5.556,94.444
XTO ENERGY INC,pre_2020,148,5.405,94.595
