model,term,coef,se,z_or_t,p_value
H2_ols_log1p,Intercept,1.589851711784633,0.2391352078778424,6.6483380924685,2.964208018435245e-11
H2_ols_log1p,C(rurality_3)[T.Suburban],-0.03943317740608629,0.03454868351727946,-1.1413800293248182,0.2537118116118585
H2_ols_log1p,C(rurality_3)[T.Urban],-0.07703326284828199,0.02043226393192012,-3.7701775537431987,0.0001631314473236473
H2_ols_log1p,C(county_norm)[T.RIO BLANCO],0.024137468983533215,0.03027175686027448,0.797359370153,0.42524234884398615
H2_ols_log1p,C(county_norm)[T.WELD],-0.5997862360339594,0.22779854407798533,-2.632967820148256,0.008464236649999266
H2_ols_log1p,C(operator)[T.31 OPERATING],0.8031204289105692,0.21457379107599436,3.7428635849852356,0.00018193500908196986
H2_ols_log1p,C(operator)[T.4-H OPERATING CORPORATION],0.9897103118791865,0.13638622447130777,7.256673580603418,3.9672552861900793e-13
H2_ols_log1p,C(operator)[T.8 NORTH LLC],-0.5032488958888535,0.08911336989058137,-5.647288353103154,1.6299831149262087e-08
H2_ols_log1p,C(operator)[T.AKA ENERGY GROUP LLC],0.037034727848747284,0.016836363252613347,2.1996869094041873,0.0278291162015414
H2_ols_log1p,C(operator)[T.ANADARKO DJ GAS PROCESSING LLC],0.4054651081082201,,,
H2_ols_log1p,C(operator)[T.ANADARKO WATTENBERG OIL COMPLEX LLC],-0.05172191125602288,0.011786390984019708,-4.388273842786038,1.1425385972551102e-05
H2_ols_log1p,C(operator)[T.ANSCHUTZ EXPLORATION CORP],-0.5174756004492576,0.22803863794840445,-2.2692452695947978,0.023253414739614658
H2_ols_log1p,C(operator)[T.BARGATH LLC],-1.0207058569142193,0.2700464983176565,-3.7797411307794855,0.00015699149346261088
H2_ols_log1p,C(operator)[T.BARRETT CORPORATION* BILL],0.04085197064294166,0.05301707965368773,0.7705435853839999,0.44097751102646643
H2_ols_log1p,C(operator)[T.BARRETT RESOURCES CORP],6.372680161348399e-14,2.5882288361207452e-08,2.4621780239879465e-06,0.9999980354661687
H2_ols_log1p,"C(operator)[T.BAYLESS PRODUCER, LLC* ROBERT L]",-0.9208420002082158,0.2145116846410784,-4.292735856086215,1.7648491778793233e-05
H2_ols_log1p,C(operator)[T.BAYSWATER EXPLORATION & PRODUCTION LLC],0.2589799726234553,0.02871513874921759,9.018935095011923,1.8992648235772168e-19
H2_ols_log1p,C(operator)[T.BAYSWATER EXPLORATION AND PRODUCTION LLC],-0.21558331942679185,0.04291478479880298,-5.023520924956499,5.073269446191242e-07
H2_ols_log1p,C(operator)[T.BERRY PETROLEUM COMPANY LLC],-0.44976048696279686,0.2395714607332254,-1.8773541956386335,0.06046956488298202
H2_ols_log1p,C(operator)[T.BISON IV OPERATING LLC],0.327569007940771,0.020432263928697004,16.03194873969409,7.644731805365377e-58
H2_ols_log1p,C(operator)[T.BISON OIL & GAS II LLC],0.004496210362971542,0.01387014138807975,0.32416471016190695,0.7458133379167275
H2_ols_log1p,C(operator)[T.BLACK HILLS PLATEAU PRODUCTION LLC],-1.5898517117846296,0.23913520787784237,-6.648338092468487,2.964208018435524e-11
H2_ols_log1p,C(operator)[T.BLUE CHIP OIL INC],1.5989939106561746,0.13054557062595343,12.248549705586738,1.71027032058055e-34
H2_ols_log1p,C(operator)[T.BNN WESTERN LLC],-0.17145724482398922,0.012805736627429837,-13.389096606651153,7.002731509427621e-41
H2_ols_log1p,C(operator)[T.BONANZA CREEK ENERGY OPERATING COMPANY LLC],-0.370051476461151,0.031095586608677072,-11.900450090170994,1.1771056955145149e-32
H2_ols_log1p,C(operator)[T.CAERUS PICEANCE LLC],-0.8560611147105541,0.24990449311804527,-3.4255531144299347,0.0006135489575339502
H2_ols_log1p,C(operator)[T.CAPTIVA ENERGY PARTNERS LLC],0.3962288853692116,0.01371947269615366,28.88076634900821,2.0825165378042126e-183
H2_ols_log1p,C(operator)[T.CARRIZO NIOBRARA LLC],0.3247142781091528,0.013719472695826209,23.668131079698032,7.680149945078193e-124
H2_ols_log1p,C(operator)[T.CCRP OPERATING INC],-0.29691829519072777,0.013719472696099763,-21.642106935723348,7.213090212439701e-104
H2_ols_log1p,C(operator)[T.CHACO ENERGY COMPANY],3.9409811872869787,0.18609350925810408,21.177424204629293,1.542387778850745e-99
H2_ols_log1p,C(operator)[T.CHEVRON PIPELINE COMPANY],-0.22769481964827265,0.21451168464116266,-1.0614564890913185,0.288482496719925
H2_ols_log1p,C(operator)[T.CHEVRON PRODUCTION COMPANY],-1.1990491981778995,0.21451168464117282,-5.589668461107955,2.2750356102600902e-08
H2_ols_log1p,C(operator)[T.CHEVRON USA INC],-0.5554395258728411,0.22468630452544694,-2.4720666755633722,0.01343344592102425
H2_ols_log1p,C(operator)[T.CIVITAS NORTH LLC],-0.013968799251751152,0.05778208518584681,-0.2417496566076276,0.8089741500990412
H2_ols_log1p,C(operator)[T.COACHMAN ENERGY OPERATING COMPANY LLC],0.7212288567564473,0.22813995011519836,3.161343975012994,0.0015704292633060323
H2_ols_log1p,C(operator)[T.COLORADO OIL & GAS CONSERVATION COMMISSION],-0.6297681883812865,1.0313716722982689,-0.610612260639208,0.5414563038959948
H2_ols_log1p,C(operator)[T.COMPLETE ENERGY SERVICES INC],0.18558007576571312,0.024051947503447982,7.7158024621128565,1.2022339169762337e-14
H2_ols_log1p,C(operator)[T.CONFLUENCE DJ LLC],-0.21988503234244905,0.024051947503649286,-9.142088486143875,6.125768422019328e-20
H2_ols_log1p,C(operator)[T.CRESTONE PEAK RESOURCES OPERATING LLC],-0.22174957714221816,0.07608373566639912,-2.9145463902365862,0.0035620586422894273
H2_ols_log1p,C(operator)[T.CUB CREEK ENERGY],-0.35359481276805693,0.0048998116765918654,-72.16498022920034,0.0
H2_ols_log1p,C(operator)[T.CUB CREEK ENERGY LLC],0.15809584745506197,0.016345811142647226,9.671948738143694,3.9675012576365424e-22
H2_ols_log1p,C(operator)[T.DAN A HUGHES COMPANY LP],0.10854681291743101,0.013719472696335543,7.911879364461562,2.535320117578152e-15
H2_ols_log1p,C(operator)[T.DCP MIDSTREAM LP],-0.07964805277211648,0.018241137112259845,-4.366397351324394,1.2631260659715037e-05
H2_ols_log1p,C(operator)[T.DCP OPERATING COMPANY LP],-0.039043574297111805,0.0347970378916663,-1.1220372957797804,0.2618465826674189
H2_ols_log1p,C(operator)[T.DIAMOND OPERATING INC],0.3284318452599454,0.020432263929090092,16.074177898237995,3.870945656484635e-58
