operator,n_total,p_late30_adj
UTAH GAS OP LTD DBA UTAH GAS CORP,122,9.191
SCOUT ENERGY MANAGEMENT LLC,106,4.021
CHEVRON USA INC,872,3.47
URSA OPERATING COMPANY LLC,110,2.99
XTO ENERGY INC,184,2.779
NOBLE ENERGY INC,5430,1.973
CHEVRON PRODUCTION COMPANY,72,1.807
KERR MCGEE OIL & GAS ONSHORE LP,4714,1.801
PDC ENERGY INC,2454,1.69
CRESTONE PEAK RESOURCES OPERATING LLC,694,1.568
CAERUS PICEANCE LLC,2194,1.478
SYNERGY RESOURCES CORPORATION,100,1.304
SRC ENERGY INC,158,1.111
WHITING OIL & GAS CORPORATION,446,1.09
EXTRACTION OIL & GAS INC,494,1.037
TEP ROCKY MOUNTAIN LLC,592,1.036
GREAT WESTERN OPERATING COMPANY LLC,206,0.991
DCP OPERATING COMPANY LP,400,0.862
KP KAUFFMAN COMPANY INC,940,0.845
BAYSWATER EXPLORATION & PRODUCTION LLC,116,0.82
EXTRACTION OIL & GAS LLC,88,0.819
BARRETT CORPORATION* BILL,140,0.817
FUNDARE RESOURCES OPERATING COMPANY LLC,196,0.812
K P KAUFFMAN COMPANY INC,72,0.778
KERR MCGEE GATHERING LLC,250,0.756
BONANZA CREEK ENERGY OPERATING COMPANY LLC,1130,0.755
HIGHPOINT OPERATING CORPORATION,856,0.709
BAYSWATER EXPLORATION AND PRODUCTION LLC,76,0.709
FOUNDATION ENERGY MANAGEMENT LLC,160,0.705
ENCANA OIL & GAS (USA) INC,136,0.648
VERDAD RESOURCES LLC,144,0.643
LARAMIE ENERGY LLC,286,0.595
TAPROOT ROCKIES MIDSTREAM LLC,52,0.589
TALLGRASS WATER WESTERN LLC,56,0.589
BISON IV OPERATING LLC,70,0.589
SUMMIT MIDSTREAM PARTNERS LLC,78,0.503
DCP MIDSTREAM LP,208,0.493
WPX ENERGY ROCKY MOUNTAIN LLC,164,0.491
GRAND RIVER GATHERING LLC,138,0.473
BISON OIL & GAS II LLC,52,0.472
NOBLE MIDSTREAM SERVICES LLC,78,0.414
NGL WATER SOLUTIONS DJ LLC,138,0.359
BERRY PETROLEUM COMPANY LLC,64,0.329
BNN WESTERN LLC,50,0.308
EOG RESOURCES INC,104,0.301
VANGUARD OPERATING LLC,68,0.301
