model,term,coef,se,t,p_value
H1_LPM_operator_FE,Intercept,-0.055,0.18,-0.307,0.7591553190213296
H1_LPM_operator_FE,C(county_norm)[T.RIO BLANCO],0.088,0.033,2.706,0.006809228310887913
H1_LPM_operator_FE,C(county_norm)[T.WELD],-0.184,0.171,-1.079,0.28056690021822606
H1_LPM_operator_FE,C(rurality_3)[T.Suburban],0.125,0.034,3.679,0.00023453457926689528
H1_LPM_operator_FE,C(rurality_3)[T.Urban],0.133,0.031,4.359,1.308976822643077e-05
H1_LPM_operator_FE,C(operator)[T.31 OPERATING],-0.14,0.18,-0.776,0.4374597289685269
H1_LPM_operator_FE,C(operator)[T.4-H OPERATING CORPORATION],1.107,0.032,34.805,2.0207629423993125e-265
H1_LPM_operator_FE,C(operator)[T.8 NORTH LLC],0.62,0.039,15.935,3.6196264594414616e-57
H1_LPM_operator_FE,C(operator)[T.AKA ENERGY GROUP LLC],0.075,0.022,3.354,0.0007954378983663431
H1_LPM_operator_FE,C(operator)[T.ANADARKO DJ GAS PROCESSING LLC],-0.0,0.0,-0.01,0.9917112491851072
H1_LPM_operator_FE,C(operator)[T.ANADARKO WATTENBERG OIL COMPLEX LLC],0.094,0.025,3.831,0.0001277452917905027
H1_LPM_operator_FE,C(operator)[T.ANSCHUTZ EXPLORATION CORP],-0.04,0.18,-0.221,0.8252383247646052
H1_LPM_operator_FE,C(operator)[T.BARGATH LLC],0.22,0.174,1.266,0.20537217401942753
H1_LPM_operator_FE,C(operator)[T.BARRETT CORPORATION* BILL],0.559,0.049,11.344,7.935148220498576e-30
H1_LPM_operator_FE,C(operator)[T.BARRETT RESOURCES CORP],-0.0,0.0,-0.043,0.9657272863962169
H1_LPM_operator_FE,"C(operator)[T.BAYLESS PRODUCER, LLC* ROBERT L]",-0.033,0.186,-0.177,0.85915114800484
H1_LPM_operator_FE,C(operator)[T.BAYSWATER EXPLORATION & PRODUCTION LLC],0.229,0.014,16.555,1.4686303541853979e-61
H1_LPM_operator_FE,C(operator)[T.BAYSWATER EXPLORATION AND PRODUCTION LLC],0.489,0.044,11.211,3.5998321086155054e-29
H1_LPM_operator_FE,C(operator)[T.BERRY PETROLEUM COMPANY LLC],0.012,0.176,0.067,0.9465377740633455
H1_LPM_operator_FE,C(operator)[T.BISON IV OPERATING LLC],0.133,0.031,4.359,1.3089768225569751e-05
H1_LPM_operator_FE,C(operator)[T.BISON OIL & GAS II LLC],0.174,0.04,4.368,1.2540552435656114e-05
H1_LPM_operator_FE,C(operator)[T.BLACK HILLS PLATEAU PRODUCTION LLC],0.055,0.18,0.307,0.7591553190213869
H1_LPM_operator_FE,C(operator)[T.BLUE CHIP OIL INC],1.005,0.033,30.722,2.92646860550034e-207
H1_LPM_operator_FE,C(operator)[T.BNN WESTERN LLC],0.231,0.055,4.221,2.4355102696885097e-05
H1_LPM_operator_FE,C(operator)[T.BONANZA CREEK ENERGY OPERATING COMPANY LLC],0.289,0.037,7.854,4.037712997948475e-15
