operator,n_total,p_late30_adj,p_any_adj
KERR MCGEE OIL & GAS ONSHORE LP,4714,1.801,34.028
CHEVRON PRODUCTION COMPANY,72,1.807,36.083
WPX ENERGY ROCKY MOUNTAIN LLC,164,0.491,36.518
NGL WATER SOLUTIONS DJ LLC,138,0.359,49.31
HIGHPOINT OPERATING CORPORATION,856,0.709,50.234
K P KAUFFMAN COMPANY INC,72,0.778,52.895
CAERUS PICEANCE LLC,2194,1.478,53.702
EXTRACTION OIL & GAS INC,494,1.037,54.632
BONANZA CREEK ENERGY OPERATING COMPANY LLC,1130,0.755,55.773
SUMMIT MIDSTREAM PARTNERS LLC,78,0.503,56.398
KERR MCGEE GATHERING LLC,250,0.756,56.773
TAPROOT ROCKIES MIDSTREAM LLC,52,0.589,57.472
VERDAD RESOURCES LLC,144,0.643,58.332
NOBLE ENERGY INC,5430,1.973,61.807
UTAH GAS OP LTD DBA UTAH GAS CORP,122,9.191,62.26
