operator,n_total,p_late30_adj,p_any_adj
EOG RESOURCES INC,104,0.301,74.973
VANGUARD OPERATING LLC,68,0.301,91.132
BNN WESTERN LLC,50,0.308,87.927
BERRY PETROLEUM COMPANY LLC,64,0.329,84.214
NGL WATER SOLUTIONS DJ LLC,138,0.359,49.31
NOBLE MIDSTREAM SERVICES LLC,78,0.414,84.593
BISON OIL & GAS II LLC,52,0.472,88.411
GRAND RIVER GATHERING LLC,138,0.473,63.678
WPX ENERGY ROCKY MOUNTAIN LLC,164,0.491,36.518
DCP MIDSTREAM LP,208,0.493,75.01
SUMMIT MIDSTREAM PARTNERS LLC,78,0.503,56.398
TALLGRASS WATER WESTERN LLC,56,0.589,78.557
BISON IV OPERATING LLC,70,0.589,77.213
TAPROOT ROCKIES MIDSTREAM LLC,52,0.589,57.472
LARAMIE ENERGY LLC,286,0.595,79.758
