operator,n_total,p_late30_adj,p_any_adj
SYNERGY RESOURCES CORPORATION,100,1.304,95.994
BARRETT CORPORATION* BILL,140,0.817,91.4
VANGUARD OPERATING LLC,68,0.301,91.132
BISON OIL & GAS II LLC,52,0.472,88.411
BAYSWATER EXPLORATION & PRODUCTION LLC,116,0.82,88.007
BNN WESTERN LLC,50,0.308,87.927
FUNDARE RESOURCES OPERATING COMPANY LLC,196,0.812,87.736
XTO ENERGY INC,184,2.779,84.785
NOBLE MIDSTREAM SERVICES LLC,78,0.414,84.593
BERRY PETROLEUM COMPANY LLC,64,0.329,84.214
URSA OPERATING COMPANY LLC,110,2.99,83.626
BAYSWATER EXPLORATION AND PRODUCTION LLC,76,0.709,81.611
CHEVRON USA INC,872,3.47,80.964
FOUNDATION ENERGY MANAGEMENT LLC,160,0.705,79.963
LARAMIE ENERGY LLC,286,0.595,79.758
